# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
1.000000e-02,5.127341e-01,17032,33218
3.000000e-02,5.290167e-01,17721,33498
5.000000e-02,5.376454e-01,18445,34307
7.000000e-02,5.368697e-01,18835,35083
9.000000e-02,5.370415e-01,20160,37539
1.100000e-01,5.262947e-01,21056,40008
1.300000e-01,5.113204e-01,21771,42578
1.500000e-01,4.943585e-01,22915,46353
1.700000e-01,4.621490e-01,23467,50778
1.900000e-01,4.426298e-01,24284,54863
2.100000e-01,4.195782e-01,25027,59648
2.300000e-01,4.012072e-01,26188,65273
2.500000e-01,3.801975e-01,26791,70466
2.700000e-01,3.652907e-01,28283,77426
2.900000e-01,3.476893e-01,29394,84541
3.100000e-01,3.298339e-01,29973,90873
3.300000e-01,3.082908e-01,30194,97940
3.500000e-01,2.956336e-01,31030,104961
3.700000e-01,2.800538e-01,31671,113089
3.900000e-01,2.695932e-01,33040,122555
4.100000e-01,2.557618e-01,33303,130211
4.300000e-01,2.429586e-01,33728,138822
4.500000e-01,2.290127e-01,33879,147935
4.700000e-01,2.223850e-01,35059,157650
4.900000e-01,2.114595e-01,35230,166604
5.100000e-01,2.015839e-01,35483,176021
5.300000e-01,1.941253e-01,36078,185849
5.500000e-01,1.852352e-01,36197,195411
5.700000e-01,1.765126e-01,36336,205855
5.900000e-01,1.696718e-01,36718,216406
6.100000e-01,1.640616e-01,36968,225330
6.300000e-01,1.550742e-01,36415,234823
6.500000e-01,1.517141e-01,37259,245587
6.700000e-01,1.464360e-01,37445,255709
6.900000e-01,1.423904e-01,37833,265699
7.100000e-01,1.368072e-01,37673,275373
7.300000e-01,1.312353e-01,37356,284649
7.500000e-01,1.270321e-01,37399,294406
7.700000e-01,1.250066e-01,37957,303640
7.900000e-01,1.209606e-01,37903,313350
8.100000e-01,1.178845e-01,38138,323520
8.300000e-01,1.164184e-01,38838,333607
8.500000e-01,1.127990e-01,38656,342698
8.700000e-01,1.106332e-01,38864,351287
8.900000e-01,1.055450e-01,37945,359515
9.100000e-01,1.026897e-01,37897,369044
9.300000e-01,1.025402e-01,38687,377286
9.500000e-01,9.772629e-02,37604,384789
9.700000e-01,9.622253e-02,37771,392538
9.900000e-01,9.499710e-02,37861,398549
1.010000e+00,9.465742e-02,38603,407818
1.030000e+00,9.285721e-02,38431,413872
1.050000e+00,9.141811e-02,38532,421492
1.070000e+00,9.065349e-02,38755,427507
1.090000e+00,9.013442e-02,39253,435494
1.110000e+00,9.009318e-02,39701,440666
1.130000e+00,8.756703e-02,38964,444962
