x_center, density_A, density_B, density_total
0.400000, 2.734375, 0.175781, 2.910156
1.200000, 2.968750, 0.156250, 3.125000
2.000000, 3.007812, 0.117188, 3.125000
2.800000, 2.910156, 0.078125, 2.988281
3.600000, 2.714844, 0.156250, 2.871094
4.400000, 2.988281, 0.097656, 3.085938
5.200000, 2.890625, 0.039062, 2.929688
6.000000, 3.085938, 0.117188, 3.203125
6.800000, 2.695312, 0.234375, 2.929688
7.600000, 2.812500, 0.312500, 3.125000
8.400000, 2.011719, 0.781250, 2.792969
9.200000, 1.425781, 1.582031, 3.007812
10.000000, 0.878906, 2.050781, 2.929688
10.800000, 0.273438, 2.714844, 2.988281
11.600000, 0.156250, 2.929688, 3.085938
12.400000, 0.078125, 2.832031, 2.910156
13.200000, 0.097656, 3.046875, 3.144531
14.000000, 0.078125, 2.812500, 2.890625
14.800000, 0.136719, 2.929688, 3.066406
15.600000, 0.156250, 2.851562, 3.007812
16.400000, 0.097656, 2.988281, 3.085938
17.200000, 0.097656, 2.871094, 2.968750
18.000000, 0.156250, 2.812500, 2.968750
18.800000, 0.898438, 2.128906, 3.027344
19.600000, 2.148438, 0.683594, 2.832031
