time,kinetic_energy,potential_energy,total_energy
0.010000,560.796151,2196.800307,2757.596458,0.000000
0.020000,563.787714,2198.330198,2762.117911,0.000000
0.030000,558.884553,2202.051889,2760.936442,0.000000
0.040000,555.472415,2207.151756,2762.624171,0.000000
0.050000,551.215109,2213.257063,2764.472173,0.000000
0.060000,542.586059,2218.697421,2761.283480,0.000000
0.070000,535.310715,2222.141986,2757.452702,0.000000
0.080000,535.578180,2222.531482,2758.109662,0.000000
0.090000,546.173325,2219.550354,2765.723679,0.000000
0.100000,557.205316,2213.525096,2770.730412,0.000000
0.110000,571.985080,2202.830676,2774.815756,0.000000
0.120000,594.415706,2188.028856,2782.444562,0.000000
0.130000,619.647739,2169.360211,2789.007950,0.000000
0.140000,652.562059,2145.486595,2798.048654,0.000000
0.150000,685.880499,2117.480295,2803.360794,0.000000
0.160000,722.516910,2085.645321,2808.162230,0.000000
0.170000,762.192808,2050.357850,2812.550658,0.000000
0.180000,796.356986,2013.755527,2810.112514,0.000000
0.190000,833.327848,1976.764026,2810.091873,0.000000
0.200000,874.154798,1940.025526,2814.180324,0.000000
0.210000,914.109225,1904.980010,2819.089235,0.000000
0.220000,948.730838,1872.672793,2821.403631,0.000000
0.230000,976.658506,1844.118682,2820.777188,0.000000
0.240000,1000.367808,1819.542904,2819.910712,0.000000
0.250000,1016.425486,1799.613936,2816.039422,0.000000
0.260000,1029.947092,1783.451689,2813.398781,0.000000
0.270000,1042.790398,1771.672057,2814.462455,0.000000
0.280000,1049.597904,1763.295809,2812.893713,0.000000
0.290000,1047.576658,1758.336722,2805.913380,0.000000
0.300000,1042.293381,1756.376592,2798.669973,0.000000
0.310000,1037.389558,1756.472473,2793.862031,0.000000
0.320000,1031.451607,1758.312920,2789.764527,0.000000
0.330000,1020.037521,1761.253441,2781.290962,0.000000
0.340000,1006.567100,1764.802336,2771.369436,0.000000
0.350000,998.007360,1767.888788,2765.896148,0.000000
0.360000,991.336594,1771.031683,2762.368278,0.000000
0.370000,986.927796,1773.961881,2760.889677,0.000000
0.380000,984.450690,1775.647588,2760.098278,0.000000
0.390000,978.281834,1776.490212,2754.772045,0.000000
0.400000,971.325295,1777.593600,2748.918895,0.000000
0.410000,964.880984,1779.179080,2744.060064,0.000000
0.420000,953.297658,1781.675728,2734.973386,0.000000
0.430000,940.559310,1784.210274,2724.769584,0.000000
0.440000,928.657859,1787.274807,2715.932666,0.000000
