# step=10000 samples=4671226772094713856 bins=1000 vmax=30
v_center, density, count
1.000000e-02,2.162630e-02,33218
3.000000e-02,2.180859e-02,33498
5.000000e-02,2.233529e-02,34307
7.000000e-02,2.284049e-02,35083
9.000000e-02,2.443945e-02,37539
1.100000e-01,2.604688e-02,40008
1.300000e-01,2.772005e-02,42578
1.500000e-01,3.017773e-02,46353
1.700000e-01,3.305859e-02,50778
1.900000e-01,3.571810e-02,54863
2.100000e-01,3.883333e-02,59648
2.300000e-01,4.249544e-02,65273
2.500000e-01,4.587630e-02,70466
2.700000e-01,5.040755e-02,77426
2.900000e-01,5.503971e-02,84541
3.100000e-01,5.916211e-02,90873
3.300000e-01,6.376302e-02,97940
3.500000e-01,6.833398e-02,104961
3.700000e-01,7.362565e-02,113089
3.900000e-01,7.978841e-02,122555
4.100000e-01,8.477279e-02,130211
4.300000e-01,9.037891e-02,138822
4.500000e-01,9.631185e-02,147935
4.700000e-01,1.026367e-01,157650
4.900000e-01,1.084661e-01,166604
5.100000e-01,1.145970e-01,176021
5.300000e-01,1.209954e-01,185849
5.500000e-01,1.272207e-01,195411
5.700000e-01,1.340202e-01,205855
5.900000e-01,1.408893e-01,216406
6.100000e-01,1.466992e-01,225330
6.300000e-01,1.528796e-01,234823
6.500000e-01,1.598874e-01,245587
6.700000e-01,1.664772e-01,255709
6.900000e-01,1.729811e-01,265699
7.100000e-01,1.792793e-01,275373
7.300000e-01,1.853184e-01,284649
7.500000e-01,1.916706e-01,294406
7.700000e-01,1.976823e-01,303640
7.900000e-01,2.040039e-01,313350
8.100000e-01,2.106250e-01,323520
8.300000e-01,2.171921e-01,333607
8.500000e-01,2.231107e-01,342698
8.700000e-01,2.287025e-01,351287
8.900000e-01,2.340592e-01,359515
9.100000e-01,2.402630e-01,369044
9.300000e-01,2.456289e-01,377286
9.500000e-01,2.505137e-01,384789
9.700000e-01,2.555586e-01,392538
9.900000e-01,2.594720e-01,398549
1.010000e+00,2.655065e-01,407818
1.030000e+00,2.694479e-01,413872
